noise_strength,mean_free_power,std_mean_free_power
0.09999999999999999,0.2208131093113864,0.0033691482093055297
0.12689610031679222,0.22083700754187827,0.003369709962587532
0.16102620275609392,0.22086765826529053,0.003370661315574802
0.20433597178569415,0.22090696145821498,0.0033717056336907874
0.2592943797404667,0.22095465029407618,0.0033729254298798033
0.3290344562312668,0.22101217498727885,0.0033744980067387845
0.41753189365604015,0.22109869600672646,0.0033764042300970104
0.5298316906283709,0.22120411815622965,0.0033788683339716157
0.6723357536499336,0.22133354605532982,0.003381992656620735
0.8531678524172808,0.221514468223395,0.0033852880979337403
1.0826367338740546,0.22174311065931732,0.003389283163534454
1.3738237958832629,0.22203213720469753,0.003394778226259538
1.743328822199988,0.22240660261300021,0.0034006269172958455
2.2122162910704493,0.22288769313173046,0.0034090278772616
2.8072162039411768,0.22349565264831642,0.0034191309840275815
3.562247890262442,0.22428303054767276,0.003431589073481485
4.520353656360243,0.22527672388309386,0.00344600345326922
5.736152510448679,0.2265224836186927,0.003463737744051553
7.27895384398315,0.22809130162189611,0.0034868595234035142
9.23670857187386,0.2300923158169519,0.003516293820806997
11.721022975334806,0.23261875717103903,0.003554194421264873
14.873521072935118,0.23585167741134613,0.00359992039430016
18.873918221350976,0.23988289094175133,0.003657970762781358
23.95026619987486,0.24497910109695054,0.0037304128866929415
30.391953823131978,0.2513372163295927,0.0038229078766942415
38.56620421163472,0.2591549153011375,0.0039335086617505195
48.93900918477494,0.2688709980591077,0.004067399868633002
62.10169418915616,0.2807942551551848,0.004234672474163818
78.80462815669912,0.2954361464495695,0.004438749121004279
100.0,0.31312220468000285,0.004686739541033556
